"gameId","gameName","alternateNames","subcategory","level","description","playersMax","ageRange","duration","equipmentNeeded","objective","skillsDeveloped","setupTime","place","physicalIntensityLevel","educationalBenefits","category"
"225","Telestrations","Telephone Pictionary","Drawing Game","Beginner","A game where players alternate between drawing and guessing phrases, leading to humorous outcomes.","8","12+","30 minutes","Drawing pads; Markers; Word cards","Have fun seeing how drawings and guesses change through the rounds.","Creativity; Humor; Interpretation","2 minutes","Tabletop","Low","Encourages creativity and provides social entertainment","Party Games"
"226","Code Names","None","Word Game","Beginner to Intermediate","Two teams compete to see who can make contact with all their agents first using one-word clues.","8","14+","15-30 minutes","Codenames cards","Correctly guess all your team's words based on the spymaster's clues.","Word association; Teamwork; Strategic thinking","5 minutes","Tabletop","Low","Enhances vocabulary and team communication","Party Games"
"227","Hot Potato","None","Music Game","Beginner","Players pass an item around while music plays; when the music stops, the player holding the item is out.","Unlimited","5+","Variable","Small object (potato or similar); Music source","Avoid being caught with the item when the music stops.","Reflexes; Coordination; Listening","2 minutes","Open space","Moderate","Develops quick reactions and coordination","Party Games"
"228","Murder Mystery Party","None","Role-Playing Game","Intermediate","Players take on roles to solve a fictional murder case during a party.","20","16+","2-3 hours","Murder mystery kit; Costumes (optional)","Determine who among the players is the murderer.","Deduction; Role-playing; Social interaction","30 minutes","Living room or event space","Low","Enhances deductive reasoning and social skills","Party Games"
"229","Left Right Center","LCR","Dice Game","Beginner","A simple dice game where players pass chips based on dice rolls; the last player with chips wins.","Unlimited","5+","20 minutes","LCR dice; Chips or tokens","Be the last player with remaining chips.","Probability; Simple strategy; Luck","2 minutes","Tabletop","Low","Introduces basic probability and chance","Party Games"
"230","Psych!","None","Mobile Party Game","Beginner","A game where players make up fake answers to real trivia questions and try to guess the correct one.","Unlimited","12+","Variable","Mobile device; Psych! app","Fool others into choosing your fake answer while finding the real one.","Creativity; Deception; Knowledge","2 minutes","Anywhere","Low","Enhances creativity and knowledge recall","Party Games"
"231","What Do You Meme?","None","Card Game","Beginner to Intermediate","Players compete to create the funniest meme by pairing caption cards with a selected image card.","20","17+","30-90 minutes","Image cards; Caption cards","Have your meme chosen as the funniest by the judge.","Humor; Creativity; Social interaction","2 minutes","Tabletop","Low","Encourages creative thinking and social engagement","Party Games"
"232","Minute to Win It Games","None","Challenge Games","Beginner","A series of 60-second challenges that use household items to complete simple but tricky tasks.","Unlimited","8+","Variable","Variety of household items (depends on the challenge)","Complete the task within one minute to earn points or advance.","Coordination; Timing; Problem-solving","Varies per game","Open space","Moderate","Develops coordination and problem-solving under time pressure","Party Games"
"233","The Game of Things","None","Party Game","Beginner","Players write responses to prompts, and others guess who wrote which response.","15","14+","30 minutes","Prompt cards; Paper; Pens","Match responses to the players who wrote them.","Humor; Creativity; Social deduction","2 minutes","Tabletop","Low","Enhances social interaction and creative thinking","Party Games"
"234","Werewolf","Mafia","Social Deduction Game","Beginner to Intermediate","Players are assigned roles as villagers or werewolves; werewolves eliminate villagers at night, and villagers vote to eliminate suspects during the day.","Unlimited (best with 7-20)","13+","30-90 minutes","Role cards or slips of paper","Eliminate the opposing team by deducing roles and voting.","Deductive reasoning; Strategy; Social skills","5 minutes","Living room or circle seating","Low","Enhances critical thinking and group interaction","Party Games"
"235","Among Us","None","Social Deduction Game","Beginner","A multiplayer game where players work together to complete tasks on a spaceship, while impostors try to eliminate them.","15","10+","10-15 minutes per round","Mobile device or computer; Game software","Identify and vote out the impostors or sabotage the crew as an impostor.","Social deduction; Teamwork; Deception","2 minutes","Home gaming setup or party setting","Low","Enhances social deduction and teamwork skills","Party Games"
"236","Trivial Pursuit","None","Trivia Game","Beginner to Intermediate","A board game where players answer trivia questions from various categories to earn wedges and win the game.","6","12+","60-90 minutes","Game board; Question cards; Player tokens; Wedges; Dice","Collect all category wedges by correctly answering questions and reach the center of the board.","General knowledge; Memory recall; Critical thinking","5 minutes","Tabletop","Low","Enhances general knowledge across multiple subjects","Party Games"
"237","Jeopardy!","None","Trivia Game","Intermediate","A game where players answer trivia questions in the form of a question, covering various topics.","Unlimited","12+","Variable","Jeopardy! game set or create your own; Buzzers (optional)","Accumulate the most money by correctly answering questions.","General knowledge; Quick thinking; Recall","10 minutes","Living room or event space","Low","Improves knowledge and quick recall abilities","Party Games"
"238","Twister","None","Physical Party Game","Beginner","A game where players place their hands and feet on colored circles according to a spinner's instructions without falling.","4","6+","10-30 minutes","Twister mat; Spinner","Be the last player remaining without falling over.","Flexibility; Balance; Coordination","2 minutes","Open floor space","Moderate","Promotes physical activity and coordination","Party Games"
"239","Musical Chairs","None","Physical Party Game","Beginner","A game where players walk around chairs while music plays; when the music stops, they must sit on a chair. One chair is removed each round.","Unlimited","4+","Variable","Chairs (one fewer than the number of players); Music source","Avoid being left without a chair when the music stops.","Reflexes; Speed; Listening","5 minutes","Open space","Moderate","Develops quick reactions and listening skills","Party Games"
